No,Tgl_Iklan,url,Harga_Juta,Kota,LT,LB,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi,
11,19-03-21,rumah123.com/properti/depok/hos6343024/,1250,DEPOK ,84,114,3,0,1,1,0,0,2200,SHM,RUMAH CLUSTER MEWAH DAN LOKASI STRATEGIS DI PANCORAN MAS DEPOK,"LISTING INI MERUPAKAN VERIFIED LISTING 99 GROUP (RUMAH123 & 99) TIM 99 GROUP SUDAH MELAKUKAN PENGECEKAN DOKUMEN, LOKASI ASLI, DAN HARGA SESUAI SILAHKAN LAPORKAN DAN DAPATKAN KOMPENSASI APABILA LISTINGAN BUKTI TIDAK SESUAI PASTI AMAN, HARGA SESUAI, RESPON CEPAT! HUNIAN MEWAH EKSKLUSIF DAN LOKASI STRATEGIS DI PANCORAN MAS-KOTA DEPOK. DEKAT STASIUN DEPOK DAN PINTU TOL DESARI & TOL KUKUSAN CIJAGO LOKASI PINGGIR JALAN RAYA DAN DI LALUI ANGKUTAN KOTA LOKASI SANGAT STRATEGIS: 2 KM KE STASIUN DEPOK BARU 2 KM KE TERMINAL DEPOK 2 KM KE PINTU TOL DESARI 1,5 KM KE TRANSMART DEPOK 2 KM KE BALAIKOTA DEPOK 2 KM KE ITC SPESIFIKASI: PONDASI : BETON TAPAK ( CAKAR AYAM) DINDING : HEBEL LANTAI : GRANIT PLAFOND : GYPSUM RANGKA ATAP : BAJA RINGAN ATAP : GENTENG MCLASS/SETARA KUSEN : ALUMUNIUM DAUN PINTU UTAMA : PANEL KAMPER OVEN CLOSET DUDUK,SHOWER,EXHAUST FAN",
12,19-03-21,https://www.rumah123.com/properti/depok/hos8054251/,154.2,DEPOK ,85,77,3,2,0,0,2,0,2200,SHM,HUNIAN 2 LANTAI GAYA MANIS MINIMALIS ADA SWIMMING POOL LOKASI STRATEGIS BELAKANG KAMPUS UI DP SUKA-SUKA,RUMAH CLUSTER STRATEGIS TANAH BARU BELAKANG KAMPUS UI - DEPOK DENGAN FASILITAS LENGKAP,
13,20-03-21,https://www.rumah123.com/properti/depok/hos7975514/,1980,DEPOK ,133,160,4,3,0,0,2,0,2200,SHM,RUMAH MODERN MEWAH MINIMALIS AKSES 2 MOBIL,LOKASI STRATEGIS AKSES JALAN 2 MOBIL DAN BEBAS BANJIR,
14,24-03-21,https://www.rumah123.com/properti/depok/hos8075249/,715,DEPOK ,70,100,3,2,0,0,1,0,1300,SHM,"RUMAH EROPA CLASIC DI CIMANGGIS TAPOS PEKAPURAN DEPOK. BEBAS BANJIR, AKSES 2 MOBIL. AKSES 3 PINTU TOL","RUMAH MEWAH EROPA CLASIC DI CIMANGGIS TAPOS PEKAPURAN DEPOK. BEBAS BANJIR, AKSES 2 MOBIL",
15,24-03-21,https://www.rumah.com/listing-properti/dijual-promo-new-exclusive-cluster-cuma-300jtan-2jt-an-bln-join-income-7-5jt-dekat-stasiun-citayam-depok-oleh-heri-muharadi-17571851,352.5,DEPOK ,84,36,2,1,0,0,0,1,1300,SHM,"PROMO NEW EXCLUSIVE CLUSTER CUMA 300JTAN 2JT-AN/BLN JOIN INCOME 7, 5JT DEKAT STASIUN CITAYAM DEPOK","EXCLUSIVE CLUSTER BEST PRICE 300JT-AN BLN-AN 3JT-AN JOIN INCOME 7,5JT ~VIRTUAL SURVEI~ KAMI SIAP MEMFASILITASI ANDA UNTUK SURVEI VIRTUAL VIA VIDEO CALL (WA/ZOOM) UNTUK MENGURANGI RESIKO PENYEBARAN COVID19. UNTUK JANJIAN HUB : HERI 081293574567 NGGAK PERLU NGONTRAK LAGI DAPATKAN ! PROMO PESTA DISCOUNT AWAL TAHUN 2021 BF CUMA 1JT (HANYA DI FEB 2021) GRAND DAHLIA CLUSTER ADALAH SALAH SATU KARYA TERBAIK DARI PENGEMBANG PRIMEVESTLAND YANG DIRANCANG UNTUK MEMBERIKAN KENYAMANAN DAN KEAMANAN BAGI PENGHUNINYA. BANGUNAN BERKUALITAS BERKONSEP TROPIS MINIMALIS MENJADIKANNYA HUNIAN YANG LAYAK KAMU JADIKAN REFERENSI. GRAND DAHLIA CLUSTER MEMILIKI LOKASI YANG STRATEGIS, DEKAT DENGAN SEKOLAH, PUSAT PERBELANJAAN, STASIUN DAN JUGA AKSES TRANSPORTASI CITAYAM-PARUNG DAN CITAYAM-INKOPAD. KEMUDAHAN YANG KAMU DAPATKAN ADALAH: ☑️DP RINGAN CUMA 5% DAPAT DICICIL 5X ☑️TENOR KPR BISA DARI 5 SD 30 TAHUN ☑️SERTIFIKAT YANG KAMU DAPAT ADALAH SHM PECAH PER UNIT ☑️KAMU HANYA PERLU 5 MENIT KE TEMBUSAN JALAN TEGAR BERIMAN II CIBINONG - PEMDA BOGOR (JALAN PROTOKOL YANG MENGHUBUNGKAN JL RAYA BOGOR, PEMDA BOGOR DENGAN JL RAYA PARUNG) ☑️CUMA 15 MENIT KE STASIUN CITAYAM ATAU BOJONG GEDE, MEMUDAHKAN KAMU YANG BEKERJA DI JAKARTA DAN SEKITARNYA ☑️LOKASI DILEWATI JALUR ANGKOT 111 CITAYAM - PARUNG ☑️GAK PERLU KHAWATIR UANGMU HILANG, JIKA KPR DITOLAK AKAN KAMI KEMBALIKAN 100% FASILITAS DALAM CLUSTER: ☑️ONE GATE SYSTEM ☑️SECURITY & CCTV 24 JAM CONNECT TO PHONE ☑️LEBAR JALAN 7M ☑️TAMAN BERMAIN ☑️MUSHOLA FASILITAS KESEHATAN: ☑️RSUD DEPOK, RSUD CIBINONG ☑️RS CITRA INSANI ☑️PUSKESMAS TAJURHALANG FASILITAS PENDIDIKAN : ☑️SMP ISLAM KALISUREN ☑️TKIT, SDIT, SMPIT, SMAIT BAITUSSALAM ☑️UNIVERSITAS IBNU KHALDUN WISATA & HIBURAN : ☑️SELANGKAH KE SAUNG DOMBA EDUPARK ☑️TAMAN WISATA PASIR PUTIH ☑️PONDOK ZIDANE ☑️TAMAN HERBAL INSANI AREA KOMERSIL : ☑️CIBINONG CITY MALL ☑️GIANT YASMIN ☑️LOTTE MART",
16,24-03-21,https://www.rumah.com/listing-properti/dijual-doma-house-oleh-mas-luthfi-18363045,459,DEPOK ,60,52,2,2,0,0,0,1,1300,SHM,DOMA HOUSE,"LAUNCHING (SELAGI MURAH, SELAGI ADA & BISA MEMILIH). ""DOMA HOUSE"" MINI TOWNHOUSE PERSIS DISAMPING ALUN"" DEPOK. - RUMAH 2 LT HARGA DI BAWAH 1LT & TERMURAH DISEKITAR. - TERBATAS HANYA 4 UNIT. - TEPAT BERADA DIAREA PRESTIGE & KOMERSIL DI DEPOK. - SHM & IMB PECAH PERKAVLING. - MEMILIKI 2 AKSEBILITAS JALAN",
17,26-03-21,https://www.rumah123.com/properti/depok/hos8078817/,624.8,DEPOK ,85,48,2,1,0,0,0,0,1300,SHM,KPR MUDAH: CLUSTER DAHAN SANTIKA AKSES TOL EXIT SAWANGAN,MARI SEMPATKAN WAKTU UNTUK MENGUNJUNGI LOKASI PERUMAHAN KAMI DAN DAPATKAN PENAWARAN TERBAIK DARI KAMI UNTUK ANDA.,
18,26-03-21,https://www.rumah123.com/properti/depok/hos3305141/,1890,DEPOK ,305,201,4,4,0,0,1,0,2200,SHM,RUMAH MEWAH & SANGAT MURAH DEKAT DENGAN TOL,"DIJUAL RUMAH MEWAH DAN MURAH, JAUH DIBAWAH APPRAISAL BANK (2.4M) SHM, IMB, PBB LENGKAP.",
19,26-03-21,https://www.rumah123.com/properti/depok/hos4651343/,3350,DEPOK ,515,170,4,2,1,1,5,2,4400,SHM,RUMAH STRATEGIS DI KUKUSAN 5 MENIT DARI TOL,"DIJUAL CEPAT RUMAH STRATEGIS DI KUKUSAN, BEJI",
20,26-03-21,https://www.rumah123.com/properti/depok/hos8077452/,1570,DEPOK ,93,92,3,2,0,0,1,0,2200,SHM,HUNIAN MANIS 2 LANTAI DESAIN MINIMALIS LOKASI SUPER STRATEGIS DEKAT DARI MARGONDA RAYA DEPOK,SILAHKAN HUBUNGI KAMI UNTUK SURVEY 08111-575-444 (ADE SAPUTRA),
